"SCINAME","AS.y","threat_score.y","pred_threat.y","pred_threat_bin.y","iucn_sc_pred"
"Oreophryne minuta","DD","DD","A","NT",3
"Oreophryne moluccensis","DD","DD","A","NT",3
"Oreophryne notata","DD","DD","A","NT",3
"Oreophryne parkeri","DD","DD","A","NT",3
"Oreophryne waira","DD","DD","A","NT",3
"Oreophryne wapoga","DD","DD","A","NT",3
"Oxydactyla brevicrus","DD","DD","A","NT",3
"Oxydactyla coggeri","DD","DD","A","NT",3
"Papurana grisea","DD","DD","A","NT",3
"Philautus abditus","DD","DD","C","TH",24
"Philautus cinerascens","DD","DD","B","TH",8
"Philautus jerdonii","DD","DD","A","NT",3
"Philautus kempiae","DD","DD","B","TH",8
"Philautus kempii","DD","DD","C","TH",24
"Philautus maosonensis","DD","DD","A","NT",3
"Philautus microdiscus","DD","DD","B","TH",8
"Philautus namdaphaensis","DD","DD","B","TH",8
"Philautus similipalensis","DD","DD","C","TH",24
"Philautus tytthus","DD","DD","B","TH",8
"Polypedates occidentalis","DD","DD","C","TH",24
"Polypedates zed","DD","DD","A","NT",3
"Pseudocallulops eurydactylus","DD","DD","A","NT",3
"Pseudophilautus regius","DD","DD","C","TH",24
"Pseudorana sangzhiensis","DD","DD","B","TH",8
"Pulchrana melanomenta","DD","DD","B","TH",8
"Rana hanluica","DD","DD","A","NT",3
"Rana zhengi","DD","DD","C","TH",24
"Raorchestes menglaensis","DD","DD","A","NT",3
"Raorchestes sahai","DD","DD","B","TH",8
"Rhacophorus dorsoviridis","DD","DD","C","TH",24
"Rhacophorus duboisi","DD","DD","C","TH",24
"Rhacophorus hoanglienensis","DD","DD","B","TH",8
"Rhacophorus hungfuensis","DD","DD","A","NT",3
"Rhacophorus jarujini","DD","DD","A","NT",3
"Rhacophorus pseudacutirostris","DD","DD","C","TH",24
"Rhacophorus translineatus","DD","DD","A","NT",3
"Rhacophorus tuberculatus","DD","DD","A","NT",3
"Rhacophorus turpes","DD","DD","A","NT",3
"Rhacophorus verrucopus","DD","DD","A","NT",3
"Scutiger adungensis","DD","DD","B","TH",8
"Scutiger brevipes","DD","DD","A","NT",3
"Scutiger jiulongensis","DD","DD","B","TH",8
"Sphaerotheca leucorhynchus","DD","DD","B","TH",8
"Sphaerotheca swani","DD","DD","A","NT",3
"Theloderma kwangsiense","DD","DD","C","TH",24
"Theloderma nagalandense","DD","DD","B","TH",8
"Theloderma truongsonense","DD","DD","B","TH",8
"Uperodon anamalaiensis","DD","DD","A","NT",3
"Uperoleia arenicola","DD","DD","A","NT",3
"Uperoleia daviesae","DD","DD","A","NT",3
"Uperoleia marmorata","DD","DD","A","NT",3
"Uperoleia orientalis","DD","DD","A","NT",3
"Uraeotyphlus interruptus","DD","DD","A","NT",3
"Uraeotyphlus menoni","DD","DD","A","NT",3
"Uraeotyphlus narayani","DD","DD","A","NT",3
"Uraeotyphlus oxyurus","DD","DD","A","NT",3
